aX,aY,aZ,gX,gY,gZ
-0.423,-0.458,0.816,16.602,14.893,2.869
-0.414,-0.475,0.778,15.381,15.015,3.174
-0.404,-0.491,0.751,13.306,12.756,3.967
-0.397,-0.490,0.742,10.498,9.705,4.578
-0.395,-0.474,0.748,8.972,6.348,3.784
-0.396,-0.467,0.764,8.423,2.991,1.770
-0.403,-0.468,0.782,7.446,0.610,0.366
-0.408,-0.468,0.793,7.141,-0.183,-0.244
-0.408,-0.465,0.796,7.568,-0.305,-0.793
-0.406,-0.463,0.796,8.179,-0.549,-1.282
-0.404,-0.467,0.795,9.277,-0.854,-1.648
-0.403,-0.480,0.790,9.766,-1.526,-1.404
-0.403,-0.495,0.788,9.216,-2.502,-0.122
-0.408,-0.502,0.799,8.484,-2.625,2.014
-0.410,-0.496,0.811,6.470,-0.977,4.150
-0.403,-0.481,0.815,5.615,0.793,4.761
-0.396,-0.462,0.818,7.385,1.343,4.333
-0.396,-0.451,0.817,9.277,1.099,3.723
-0.399,-0.455,0.808,10.864,0.671,3.479
-0.402,-0.463,0.802,11.353,0.183,4.333
-0.401,-0.470,0.797,10.315,0.061,5.981
-0.400,-0.467,0.795,9.949,-0.305,7.751
-0.398,-0.458,0.796,10.437,-1.160,8.972
-0.398,-0.449,0.801,11.292,-2.075,10.010
-0.401,-0.437,0.809,11.780,-2.563,10.681
-0.400,-0.426,0.814,11.902,-3.113,10.498
-0.401,-0.420,0.817,12.451,-4.211,9.766
-0.403,-0.416,0.817,12.451,-5.310,8.728
-0.405,-0.417,0.817,11.963,-5.737,7.996
-0.412,-0.414,0.821,12.268,-5.981,7.812
-0.415,-0.404,0.830,12.329,-5.432,7.751
-0.414,-0.389,0.841,12.695,-4.822,7.385
-0.418,-0.375,0.853,12.939,-3.723,6.104
-0.420,-0.371,0.857,12.024,-1.770,4.028
-0.422,-0.377,0.850,10.620,-0.305,2.075
-0.425,-0.382,0.841,8.606,-0.122,0.977
-0.416,-0.379,0.836,8.484,-1.160,0.366
-0.407,-0.374,0.837,11.047,-3.540,-0.427
-0.406,-0.374,0.839,13.184,-6.165,-0.854
-0.407,-0.377,0.837,12.817,-8.118,-1.282
-0.407,-0.378,0.832,10.742,-9.277,-2.197

0.588,-1.865,-0.855,-33.569,-395.264,-329.773
0.790,-2.199,-0.678,-16.113,-527.100,-254.517
1.112,-2.323,-0.308,13.733,-654.480,-151.245
1.509,-2.178,0.257,61.462,-758.911,-36.865
1.851,-1.875,0.937,108.948,-826.782,63.416
1.911,-1.686,1.602,129.639,-848.938,135.620
1.617,-1.589,2.208,122.559,-812.561,194.092
1.111,-1.427,2.720,104.492,-721.497,240.662
0.464,-1.193,3.218,98.633,-584.839,275.696
-0.144,-1.010,3.461,100.891,-405.212,318.848
-0.429,-1.005,3.189,129.211,-229.797,369.934
-0.294,-0.959,2.664,142.822,-90.576,416.138
0.082,-0.714,2.213,101.196,11.902,413.818
0.398,-0.357,2.096,20.630,83.679,340.027
0.464,-0.071,2.211,-72.937,148.010,243.774
0.301,0.057,2.259,-126.221,211.365,178.101
0.104,0.122,2.224,-119.995,271.423,151.367
0.031,0.207,2.161,-83.984,325.256,143.860
0.124,0.325,2.050,-38.879,367.798,131.226
0.276,0.413,1.886,9.766,398.376,99.915
0.446,0.407,1.685,58.472,415.283,53.772
0.597,0.322,1.410,102.417,410.950,1.465
0.635,0.154,1.072,131.653,385.437,-45.898
0.556,-0.063,0.737,144.592,350.952,-75.928
0.423,-0.256,0.455,146.240,312.561,-86.670
0.285,-0.403,0.278,142.273,271.118,-86.243
0.158,-0.495,0.207,137.390,228.699,-81.909
0.056,-0.545,0.194,129.822,187.012,-76.965
-0.031,-0.568,0.206,120.361,146.973,-73.364
-0.109,-0.579,0.221,110.901,109.436,-71.350
-0.182,-0.602,0.235,96.497,75.500,-69.031
-0.248,-0.636,0.261,76.599,48.035,-64.575
-0.299,-0.657,0.301,54.077,26.489,-58.350
-0.338,-0.668,0.356,33.508,8.911,-51.270
-0.378,-0.669,0.437,20.020,-5.493,-43.152
-0.415,-0.655,0.529,13.916,-16.235,-33.997
-0.443,-0.637,0.604,12.451,-22.522,-24.353
-0.459,-0.607,0.654,12.573,-24.292,-14.648
-0.465,-0.566,0.688,15.808,-22.644,-6.287
-0.468,-0.525,0.704,20.630,-20.020,-0.793
