aX,aY,aZ,gX,gY,gZ
-0.309,-0.026,0.985,-1.526,-1.160,-0.977
-0.303,-0.026,0.990,-2.563,-2.075,-0.854
-0.308,-0.023,1.001,-3.967,-2.441,-0.977
-0.313,-0.020,1.007,-5.859,-1.892,-1.343
-0.308,-0.019,1.007,-7.202,-1.160,-2.197
-0.306,-0.027,1.001,-7.874,-0.732,-2.869
-0.307,-0.042,0.992,-8.362,-0.183,-2.808
-0.303,-0.051,0.987,-7.996,0.488,-1.831
-0.299,-0.048,0.987,-7.324,0.916,-0.916
-0.300,-0.043,0.983,-6.958,0.916,-0.488
-0.299,-0.039,0.978,-5.310,0.854,0.061
-0.297,-0.035,0.976,-3.113,0.793,0.854
-0.297,-0.036,0.973,-1.648,0.549,1.404
-0.296,-0.036,0.967,-1.770,0.427,1.648
-0.295,-0.032,0.960,-2.869,0.061,1.160
-0.298,-0.031,0.955,-4.211,-0.366,-0.061
-0.299,-0.033,0.950,-5.066,-0.488,-0.977
-0.294,-0.035,0.946,-5.005,-0.671,-0.854
-0.289,-0.033,0.943,-4.211,-1.160,0.183
-0.286,-0.027,0.942,-2.136,-1.709,1.221
-0.290,-0.020,0.941,0.122,-2.197,1.831
-0.293,-0.018,0.942,0.977,-2.747,1.953
-0.291,-0.020,0.945,0.366,-3.723,1.709
-0.292,-0.022,0.948,-1.587,-4.700,1.221
-0.294,-0.024,0.953,-3.418,-5.493,0.916
-0.295,-0.021,0.966,-3.967,-5.676,1.038
-0.302,-0.011,0.983,-3.845,-4.333,0.610
-0.307,-0.004,0.992,-4.639,-2.441,-0.610
-0.305,0.002,0.988,-5.676,-0.916,-1.953
-0.300,0.001,0.976,-6.042,-0.244,-3.479
-0.295,-0.011,0.966,-5.066,0.061,-4.456
-0.289,-0.025,0.960,-3.784,0.427,-4.150
-0.284,-0.038,0.954,-2.502,0.183,-2.625
-0.281,-0.049,0.950,-1.038,-0.916,-0.854
-0.283,-0.054,0.956,-0.610,-2.075,1.038
-0.286,-0.050,0.967,-2.197,-2.441,2.563
-0.286,-0.033,0.974,-3.967,-2.197,2.808
-0.292,-0.010,0.979,-4.395,-1.404,1.343
-0.300,0.002,0.988,-3.784,0.366,-1.282
-0.300,0.005,0.991,-2.441,2.808,-3.784
-0.298,-0.005,0.984,-0.977,4.822,-5.493
-0.296,-0.027,0.972,1.465,6.409,-5.676
-0.290,-0.046,0.960,3.052,7.263,-4.761
-0.282,-0.057,0.952,3.906,7.080,-3.479

0.306,0.509,1.794,167.908,-395.752,-32.288
